SITIODESEMBARCO_ESPECIE_CAT;Cuartil_inf_Precio_Esp_Cat;Cuartil_sup_Precio_Esp_Cat
Vida Tranquila_Megaleporinus muyscorum_Revuelto;1969;2000
San Nicolás (Santa Cruz De Mompox)_Pseudoplatystoma magdaleniatum_Grande;4492;8000
Honda_Brycon moorei_Revuelto;16000;16000
Honda_Prochilodus magdalenae_Revuelto;6000;8000
Honda_Salminus affinis_Revuelto;12250;14000
Bahía de Cispatá_Eugerres plumieri_Mediano;9307;11800
Bahía de Cispatá_Centropomus undecimalis_Pequeño;8000;15797
Bahía de Cispatá_Mugil incilis_Mediano;7803;7990
Vida Tranquila_Pseudoplatystoma magdaleniatum_Grande;5488;9151
Bahía de Cispatá_Mugil incilis_Revuelto;6157;8000
Bahía de Cispatá_Centropomus ensiferus_Pequeño;6598;11500
Bahía de Cispatá_Eugerres plumieri_Pequeño;6000;8000
Vida Tranquila_Prochilodus magdalenae_Pequeño;3460;4918
Bahía de Santa Marta_Rhomboplites aurorubens_Revuelto;23581;26000
Bahía de Cispatá_Xiphopenaeus kroyeri_Revuelto;3000;4000
Bahía de Cispatá_Penaeus schmitti_Mediano;13323;16000
Bahía de Cispatá_Penaeus schmitti_Grande;25880;28297
Bahía de Cispatá_Sepioteuthis sepioidea_Revuelto;7692;8000
Las Delicias_Balistes capriscus_Mediano;2675;3650
Las Delicias_Micropogonias furnieri_Grande;6000;7000
Las Delicias_Lutjanus synagris_Grande;16000;17650
Las Delicias_Calamus calamus_Mediano;8050;8950
Las Delicias_Haemulopsis corvinaeformis_Mediano;4000;4000
La Gloria_Prochilodus magdalenae_Revuelto;4800;6100
Puente Chambacú - Río Jella_Lutjanus novemfasciatus_Varios tamaños;14400;16000
Puente Chambacú - Río Jella_Lutjanus colorado_Varios tamaños;14900;16400
Puente Chambacú - Río Jella_Centropomus nigrescens_Varios tamaños;16100;17900
Puente Chambacú - Río Jella_Nematistius pectoralis_Varios tamaños;7000;7000
Puente Chambacú - Río Jella_Cynoscion albus_Varios tamaños;18000;18000
Puente Chambacú - Río Jella_Megalops atlanticus_Varios tamaños;7000;7000
Puente Chambacú - Río Jella_Lobotes pacifica_Varios tamaños;10300;15700
Puente Chambacú - Río Jella_Hyporthodus acanthistius_Varios tamaños;13000;15000
Puente Chambacú - Río Jella_Hoplopagrus guentherii_Varios tamaños;5000;5000
Las Delicias_Conodon nobilis_Grande;5000;5000
Las Delicias_Umbrina coroides_Mediano;5000;6000
Las Delicias_Chloroscombrus chrysurus_Mediano;4000;5000
La Gloria_Plagioscion magdalenae_Revuelto;6395;8586
Las Delicias_Lutjanus synagris_Pequeño;6000;8000
Las Delicias_Caranx crysos_Revuelto;6050;6950
Puente Chambacú - Río Jella_Thunnus albacares_Varios tamaños;6000;7000
Bahía de Cispatá_Centropomus undecimalis_Grande;15130;18111
Las Delicias_Haemulon steindachneri_Revuelto;1000;2325
Las Delicias_Lutjanus synagris_Mediano;10000;12000
Las Delicias_Haemulon plumieri_Grande;3300;7400
El Pedral_Ageneiosus pardalis_Revuelto;7576;7576
El Pedral_Salminus affinis_Revuelto;6179;7190
Puente Chambacú - Río Jella_Lutjanus guttatus_Varios tamaños;15000;20000
Puente Chambacú - Río Jella_Lutjanus guttatus_Platero (para pargos);16750;23300
Puente Chambacú - Río Jella_Seriola rivoliana_Mediano;16000;16000
Las Delicias_Haemulon bonariense_Mediano;1375;3000
Las Delicias_Umbrina coroides_Revuelto;5000;6000
Las Delicias_Selar crumenophthalmus_Grande;4250;5500
Bahía de Cispatá_Lutjanus purpureus_Grande;20800;25164
Las Delicias_Panulirus laevicauda_Revuelto;24000;24000
Las Brisas_Prochilodus magdalenae_Grande;7775;9901
Las Delicias_Rhomboplites aurorubens_Pequeño;4200;5800
Las Delicias_Haemulon melanurum_Mediano;4000;5000
Las Delicias_Haemulon plumieri_Mediano;4000;6000
Las Delicias_Caranx crysos_Grande;9000;10000
Las Brisas_Hoplias malabaricus_Revuelto;1600;2195
Las Brisas_Ageneiosus pardalis_Grande;6000;6000
Las Brisas_Caquetaia kraussii_Revuelto;1156;1514
Bahía de Cispatá_Centropomus undecimalis_Mediano;15591;18000
Bahía de Cispatá_Lutjanus jocu_Grande;16749;20000
Las Brisas_Pseudoplatystoma magdaleniatum_Mediano;4954;7038
Las Brisas_Cynopotamus magdalenae_Revuelto;844;1529
Bahía de Cispatá_Ariopsis canteri_Grande;7537;8078
Bahía de Cispatá_Lutjanus synagris_Pequeño;6000;14000
Las Brisas_Megaleporinus muyscorum_Revuelto;1191;1567
Bahía de Cispatá_Lutjanus synagris_Mediano;15467;28225
Bahía de Cispatá_Caranx crysos_Grande;11541;14000
Mulatos_Nebris microps_Revuelto;15956;21986
Las Brisas_Curimata mivartii_Revuelto;2199;2470
Bahía de Cispatá_Scomberomorus brasiliensis_Grande;17000;18398
Desembarcadero (Murindó)_Prochilodus magdalenae_Revuelto;2284;3008
Mulatos_Penaeus schmitti_Mediano;49712;50000
Mantequera_Prochilodus magdalenae_Revuelto;5228;6836
Mantequera_Prochilodus magdalenae_Grande;5619;11671
Mantequera_Megaleporinus muyscorum_Grande;2155;2939
Mantequera_Plagioscion magdalenae_Grande;4551;6584
Mantequera_Pseudoplatystoma magdaleniatum_Grande;3781;6928
Mantequera_Ageneiosus pardalis_Mediano;5164;7324
Bahía de Cispatá_Sphyraena guachancho_Mediano;8114;10000
Bahía de Cispatá_Megalops atlanticus_Pequeño;4453;9100
Mantequera_Plagioscion magdalenae_Mediano;3496;6091
Bahía de Cispatá_Bagre filamentosus_Grande;6000;6900
Bahía de Cispatá_Epinephelus itajara_Pequeño;9798;12000
Bahía de Cispatá_Lutjanus synagris_Grande;27520;30000
Las Brisas_Sorubim cuspicaudus_Grande;8000;8018
Mantequera_Sorubim cuspicaudus_Revuelto;5947;6518
Las Brisas_Ageneiosus pardalis_Pequeño;4000;4000
Las Brisas_Pseudoplatystoma magdaleniatum_Grande;8000;8000
La Boquilla_Haemulopsis corvinaeformis_Revuelto;2460;3799
La Punta - Firme Cifuentes_Lobotes pacifica_Grande;10000;10000
Berrugas_Sparisoma chrysopterum_Mediano;4956;5000
Puerto Principal (Puerto Lleras)_Pseudoplatystoma orinocoense_Revuelto;13918;13997
La Punta - Firme Cifuentes_Caranx caballus_Revuelto;5000;5000
Berrugas_Sparisoma chrysopterum_Grande;4972;4999
Berrugas_Euthynnus alletteratus_Grande;9405;9937
Puerto Principal (Puerto Lleras)_Zungaro zungaro_Revuelto;13975;13998
La Punta - Firme Cifuentes_Cynoscion albus_Grande;22000;24400
La Grande_Prochilodus magdalenae_Revuelto;2788;3639
La Grande_Hoplias malabaricus_Revuelto;1341;1508
La Grande_Caquetaia kraussii_Revuelto;1412;2537
Rincón del Mar_Panulirus argus_Varios tamaños;35793;49136
La Boquilla_Sciades proops_Revuelto;8867;9608
Berrugas_Lutjanus synagris_Mediano;13134;14761
Berrugas_Lutjanus synagris_Grande;17940;19950
Berrugas_Centropomus undecimalis_Grande;18543;20396
Puerto Boca_Sorubim cuspicaudus_Revuelto;9327;10101
Puerto Boca_Prochilodus magdalenae_Mediano;9120;9960
Puerto Boca_Prochilodus magdalenae_Revuelto;6929;8475
Las Flores_Caranx hippos_Grande;6992;7000
Armenia_Prochilodus magdalenae_Mediano;6000;6000
Armenia_Hoplias malabaricus_Revuelto;2000;2000
Puerto Boca_Prochilodus magdalenae_Pequeño;3594;4007
Armenia_Plagioscion magdalenae_Grande;5000;5000
Armenia_Plagioscion magdalenae_Pequeño;3000;3000
Armenia_Sorubim cuspicaudus_Pequeño;6000;6000
Barrio Pambelé_Nebris microps_Mediano;18182;20000
Berrugas_Centropomus undecimalis_Mediano;16201;19982
Armenia_Megaleporinus muyscorum_Revuelto;2000;2000
Berrugas_Penaeus schmitti_Pequeño;18783;20000
Berrugas_Xiphopenaeus kroyeri_Grande;4792;5806
Puerto Boca_Pseudoplatystoma magdaleniatum_Revuelto;9085;9947
Armenia_Oreochromis niloticus_Pequeño;5000;5000
Barrio Pambelé_Cynoscion virescens_Mediano;18888;20000
Isla Fuerte_Caranx latus_Revuelto;9947;13027
Isla Fuerte_Haemulon plumieri_Revuelto;6888;8000
Isla Fuerte_Lutjanus synagris_Revuelto;9016;14214
Armenia_Pseudoplatystoma magdaleniatum_Pequeño;6000;6000
Armenia_Pimelodus yuma_Revuelto;5000;5000
Isla Fuerte_Scomberomorus brasiliensis_Mediano;15456;16986
Chamuscado - Naya_Lutjanus argentiventris_Mediano;13000;13000
Chamuscado - Naya_Lutjanus novemfasciatus_Mediano;13000;13000
Chamuscado - Naya_Cynoscion albus_Mediano;17000;17000
Chamuscado - Naya_Diapterus brevirostris_Pequeño;4000;4000
Chamuscado - Naya_Notarius troschelii_Mediano;10000;10000
Chontal_Otros pescadilla_Revuelto;3500;3500
Chontal_Trachinotus kennedyi_Revuelto;5000;5000
Chontal_Bagre pinnimaculatus_Grande;6000;6000
Isla Fuerte_Scomberomorus cavalla_Revuelto;14393;16981
Chontal_Mugil cephalus_Grande;5000;5000
Bazán_Penaeus occidentalis_Revuelto;40000;40000
Bazán_Cynoscion phoxocephalus_Varios tamaños;15000;15000
Bazán_Brotula clarkae_Varios tamaños;20000;20000
Bazán_Lutjanus peru_Grande;17000;17000
Chontal_Centropomus armatus_Grande;7000;7000
Chontal_Centropomus unionensis_Grande;7000;7000
Chontal_Cynoscion squamipinnis_Grande;7000;7000
Barrio Chino_Prochilodus magdalenae_Mediano;4973;5000
Barrio Chino_Megaleporinus muyscorum_Revuelto;2008;3665
Las Flores_Sciades proops_Grande;6925;9000
Barrio Chino_Prochilodus magdalenae_Grande;10000;10000
Barrio Chino_Pseudoplatystoma magdaleniatum_Grande;5997;6000
Chontal_Cynoscion albus_Grande;11000;11000
Las Flores_Centropomus undecimalis_Grande;13170;15053
Las Flores_Bagre filamentosus_Grande;5988;7000
Las Flores_Megalops atlanticus_Pequeño;7985;10000
Las Flores_Lobotes surinamensis_Mediano;8000;9000
Bocanegra_Xiphopenaeus kroyeri_Revuelto;3000;4000
Bocanegra_Centropomus undecimalis_Mediano;16873;19374
Miramar - Bahía Málaga_Polydactylus approximans_Varios tamaños;6000;6000
Bocanegra_Megalops atlanticus_Mediano;16000;16000
Punta Bonita_Scomberomorus sierra_Revuelto;12350;15000
Punta Bonita_Katsuwonus pelamis_Revuelto;1500;1500
Punta Bonita_Caranx caballus_Grande;7000;7000
Punta Bonita_Tylosurus fodiator_Grande;6000;6451
Punta Bonita_Tylosurus fodiator_Revuelto;5700;6000
Punta Bonita_Sciades dowii_Grande;9500;9500
Punta Bonita_Oligoplites refulgens_Revuelto;5050;5950
Punta Bonita_Bagre pinnimaculatus_Grande;9000;9000
El Porvenir_Caranx hippos_Grande;19718;19718
Bocanegra_Scomberomorus brasiliensis_Mediano;13764;13764
Bocanegra_Caranx crysos_Mediano;10000;10000
Bocanegra_Penaeus schmitti_Revuelto;15566;20000
Juanchaco_Scomberomorus sierra_Grande;12000;12000
Juanchaco_Sphyraena ensis_Pequeño;6000;6000
Juanchaco_Lutjanus guttatus_Platero (para pargos);5640;24000
Juanchaco_Lutjanus peru_Pequeño;7800;12000
Juanchaco_Lutjanus peru_Platero (para pargos);25000;25000
Juanchaco_Lutjanus peru_Mediano;15000;15000
Juanchaco_Mycteroperca xenarcha_Pequeño;8100;9900
Bazán La Bocana_Penaeus occidentalis_Revuelto;34000;34000
Bazán La Bocana_Penaeus occidentalis_Pequeño;26000;26000
Bazán La Bocana_Macrodon mordax_Grande;10000;11500
Bazán La Bocana_Cynoscion phoxocephalus_Grande;16000;16000
Bazán La Bocana_Panulirus gracilis_Revuelto;50000;60000
Bazán La Bocana_Otros menudo_Pequeño;6000;7650
Bazán La Bocana_Scomberomorus sierra_Pequeño;4000;4000
Isla Fuerte_Thunnus alalunga_Revuelto;8685;10600
Buenavista (La Dorada)_Brycon moorei_Revuelto;11250;15500
Buenavista (La Dorada)_Sorubim cuspicaudus_Revuelto;11000;12000
Playa Necoclí_Scomberomorus brasiliensis_Revuelto;20000;20000
Playa Necoclí_Caranx crysos_Revuelto;12000;12600
Cupica_Caranx caballus_Pequeño;16000;16000
Cupica_Sphyraena qenie_Pequeño;16000;16000
Cupica_Seriola rivoliana_Pequeño;16000;16000
Cupica_Lutjanus guttatus_Pequeño;16000;16000
Playa Necoclí_Penaeus schmitti_Mediano;48000;60000
Playa Necoclí_Centropomus pectinatus_Revuelto;14083;20000
Cupica_Lutjanus guttatus_Revuelto;16000;16000
Cupica_Lutjanus argentiventris_Pequeño;16000;16000
Buenavista (La Dorada)_Prochilodus magdalenae_Pequeño;2000;2000
Cupica_Lutjanus peru_Revuelto;16000;16000
Cupica_Lutjanus colorado_Revuelto;16000;16000
Cupica_Lutjanus colorado_Mediano;16000;16000
Puerto Antequera_Pimelodus yuma_Revuelto;5978;6004
Buenavista (La Dorada)_Prochilodus magdalenae_Revuelto;6000;10250
Buenavista (La Dorada)_Salminus affinis_Revuelto;9200;11000
San Nicolás (Nechí)_Pseudoplatystoma magdaleniatum_Grande;7968;8015
San Nicolás (Nechí)_Prochilodus magdalenae_Mediano;6950;7031
San Nicolás (Nechí)_Megaleporinus muyscorum_Revuelto;1915;3378
San Nicolás (Nechí)_Hoplias malabaricus_Revuelto;4120;5958
San Nicolás (Nechí)_Curimata mivartii_Revuelto;1880;3461
San Nicolás (Nechí)_Pterygoplichthys pardalis_Revuelto;2608;4531
San Nicolás (Nechí)_Ageneiosus pardalis_Grande;7948;8029
San Nicolás (Nechí)_Cynopotamus magdalenae_Revuelto;874;1786
San Nicolás (Nechí)_Sorubim cuspicaudus_Grande;5982;6025
San Nicolás (Nechí)_Caquetaia kraussii_Revuelto;2030;3411
San Luis_Oreochromis niloticus_Grande;7987;8007
San Luis_Plagioscion magdalenae_Pequeño;4982;5054
San Luis_Caquetaia kraussii_Revuelto;893;1116
San Luis_Cyphocharax magdalenae_Revuelto;2109;2632
San Luis_Hoplias malabaricus_Revuelto;1089;1546
San Luis_Triportheus magdalenae_Revuelto;2134;2457
San Luis_Oreochromis niloticus_Pequeño;4976;5012
San Nicolás (Nechí)_Pimelodus yuma_Revuelto;2096;3878
San Luis_Sorubim cuspicaudus_Grande;7914;8077
San Luis_Pseudoplatystoma magdaleniatum_Grande;7941;8057
San Luis_Prochilodus magdalenae_Mediano;7956;8130
Puerto de las Canoas (Puerto Berrío)_Sorubim cuspicaudus_Revuelto;10700;14000
Puerto de las Canoas (Puerto Berrío)_Prochilodus magdalenae_Pequeño;1338;3058
Puerto de las Canoas (Puerto Berrío)_Curimata mivartii_Revuelto;1013;1566
Puerto de las Canoas (Puerto Berrío)_Pseudoplatystoma magdaleniatum_Revuelto;12000;17200
Puerto de las Canoas (Puerto Berrío)_Piaractus brachypomus_Revuelto;7000;8000
Puerto de las Canoas (Puerto Berrío)_Pimelodus grosskopfii_Grande;8000;9800
Puerto de las Canoas (Puerto Berrío)_Prochilodus magdalenae_Grande;7100;12000
Puerto de las Canoas (Puerto Berrío)_Cynopotamus magdalenae_Revuelto;1017;1376
Puerto de las Canoas (Puerto Berrío)_Hypostomus sp. 2_Revuelto;6000;6000
San Nicolás (Nechí)_Ichthyoelephas longirostris_Grande;7974;7999
Puerto de las Canoas (Puerto Berrío)_Pimelodus grosskopfii_Pequeño;5050;5950
San Nicolás (Nechí)_Prochilodus magdalenae_Grande;7953;8046
Puerto de las Canoas (Puerto Berrío)_Brycon moorei_Revuelto;18000;24000
Guineal_Lutjanus colorado_Grande;10000;11700
Guineal_Lutjanus argentiventris_Revuelto;10000;12000
Guineal_Ariopsis seemanni_Grande;6000;6000
Guineal_Lutjanus peru_Mediano;12000;12000
Guineal_Notarius troschelii_Grande;5150;6000
Guineal_Lutjanus colorado_Mediano;12000;12000
Guineal_Notarius troschelii_Varios tamaños;5000;8010
Guineal_Bagre pinnimaculatus_Mediano;6000;6850
Puerto Bogotá_Pimelodus grosskopfii_Revuelto;10503;13793
La Gloria_Pseudoplatystoma magdaleniatum_Grande;9800;12000
La Gloria_Pseudoplatystoma magdaleniatum_Pequeño;8000;10000
La Gloria_Prochilodus magdalenae_Mediano;6400;8000
La Gloria_Prochilodus magdalenae_Pequeño;4819;5180
Riosucio_Prochilodus magdalenae_Revuelto;7997;8000
Riosucio_Hoplias malabaricus_Revuelto;5996;6000
La Gloria_Pimelodus yuma_Revuelto;4800;4970
La Gloria_Megaleporinus muyscorum_Revuelto;2400;2400
Riosucio_Caquetaia kraussii_Revuelto;4975;5000
La Gloria_Sorubim cuspicaudus_Revuelto;7431;10000
Riosucio_Ageneiosus pardalis_Revuelto;12971;13022
San Luis_Plagioscion magdalenae_Grande;6977;7057
San Luis_Megaleporinus muyscorum_Revuelto;979;1455
Isla Fuerte_Panulirus argus_Pequeño;13357;29111
Casco Urbano (San Juan de Urabá)_Nebris microps_Pequeño;18161;21621
El Puerto (Tumaco)_Otros menudo_Pequeño;2294;3000
El Puerto (Tumaco)_Ablennes hians_Grande;2100;3000
El Puerto (Tumaco)_Scomberomorus sierra_Grande;10000;10000
El Puerto (Tumaco)_Otros pescadilla_Grande;6000;6000
El Puerto (Tumaco)_Penaeus occidentalis_Grande;28000;28000
El Puerto (Tumaco)_Lutjanus guttatus_Grande;23000;23000
El Puerto (Tumaco)_Scomberomorus sierra_Pequeño;2000;3000
El Puerto (Tumaco)_Scomberomorus sierra_Mediano;6250;7000
El Puerto (Tumaco)_Lutjanus guttatus_Mediano;18667;19614
El Puerto (Tumaco)_Lutjanus guttatus_Pequeño;10000;10000
El Puerto (Tumaco)_Cynoscion phoxocephalus_Mediano;10000;12000
El Puerto (Tumaco)_Cynoscion phoxocephalus_Grande;16000;16000
Milagros de la Mar_Centropomus armatus_Grande;13000;13000
El Puerto (Tumaco)_Centropomus medius_Grande;10300;12000
El Puerto (Tumaco)_Centropomus medius_Mediano;9000;9000
El Puerto (Tumaco)_Cynoscion albus_Grande;25050;25950
Casco Urbano (San Juan de Urabá)_Xiphopenaeus kroyeri_Pequeño;14843;14843
Casco Urbano (San Juan de Urabá)_Scomberomorus brasiliensis_Mediano;18758;20600
Casco Urbano (San Juan de Urabá)_Caranx crysos_Pequeño;11056;13950
Guineal_Lobotes pacifica_Mediano;7000;7000
Guineal_Bagre pinnimaculatus_Revuelto;6000;9200
Betania - Naya_Centropomus armatus_Mediano;12000;12000
Betania - Naya_Cynoscion albus_Mediano;21001;21021
Betania - Naya_Menticirrhus nasus_Grande;12000;12000
Betania - Naya_Cynoscion albus_Grande;21000;21000
Betania - Naya_Centropomus medius_Grande;12000;12000
Muelles del Camarón_Xiphopenaeus riveti_Pequeño;3500;5000
Muelles del Camarón_Sphoeroides spp._Revuelto;3600;9000
Muelles del Camarón_Trachypenaeus spp._Revuelto;12000;13000
Betania - Naya_Callinectes toxotes_Revuelto;17000;17001
Betania - Naya_Sciades dowii_Grande;6802;11008
Muelles del Camarón_Melongena patula_Revuelto;3000;3000
Betania - Naya_Notarius troschelii_Grande;6750;6751
Muelles del Camarón_Panulirus gracilis_Revuelto;30000;30000
Betania - Naya_Centropomus armatus_Grande;12000;12000
La Rampa (Barrancabermeja)_Curimata mivartii_Revuelto;5000;6100
La Rampa (Barrancabermeja)_Sorubim cuspicaudus_Revuelto;9984;11447
La Rampa (Barrancabermeja)_Prochilodus magdalenae_Mediano;6948;7000
Betania - Naya_Cynoscion albus_Pequeño;8000;10000
Santa Cruz - Naya_Centropomus armatus_Grande;12750;13009
Santa Cruz - Naya_Cynoscion phoxocephalus_Grande;13000;13000
Santa Cruz - Naya_Cynoscion albus_Grande;13000;13008
Santa Cruz - Naya_Sciades dowii_Grande;7000;10000
Santa Cruz - Naya_Centropomus medius_Grande;13000;13009
Santa Cruz - Naya_Notarius troschelii_Mediano;6000;6000
Santa Cruz - Naya_Bagre panamensis_Grande;3000;3000
Santa Cruz - Naya_Diapterus brevirostris_Grande;3000;5251
Santa Cruz - Naya_Bagre pinnimaculatus_Grande;6000;8000
Santa Cruz - Naya_Cynoscion albus_Mediano;12450;13008
San Miguel (Puerto Gaitán)_Pseudoplatystoma orinocoense_Revuelto;12000;13000
Corozal_Notarius troschelii_Varios tamaños;8000;8000
Corozal_Lobotes pacifica_Varios tamaños;10000;10000
Corozal_Bagre pinnimaculatus_Varios tamaños;8200;9000
Laguna Colorada_Pterodoras rivasi_Revuelto;5000;5000
Laguna Colorada_Pseudoplatystoma metaense_Mediano;6916;7000
Laguna Colorada_Brachyplatystoma vaillantii_Revuelto;5000;5000
Laguna Colorada_Sorubimichthys planiceps_Mediano;7000;7000
Bazán La Bocana_Xiphopenaeus riveti_Revuelto;10000;10000
Bazán La Bocana_Protrachypene precipua_Revuelto;4100;6800
Bazán La Bocana_Trachypenaeus spp._Revuelto;24000;25700
La Ensenada_Scomberomorus sierra_Revuelto;3500;3850
La Ensenada_Peprilus spp._Pequeño;2500;2500
La Ensenada_Paralonchurus dumerilii_Revuelto;2500;2500
La Ensenada_Acanthocybium solandri_Revuelto;3500;3500
La Ensenada_Larimus acclivis_Revuelto;2500;2500
Tagachí_Brycon moorei_Mediano;15979;15983
Tagachí_Prochilodus magdalenae_Revuelto;1195;1599
Tagachí_Hoplias malabaricus_Revuelto;11961;11998
Chontal_Lutjanus peru_Grande;11000;11000
Chontal_Epinephelus quinquefasciatus_Grande;16000;16000
Malecón (Puerto Gaitán)_Pseudoplatystoma orinocoense_Revuelto;14000;14000
Chontal_Centropomus viridis_Grande;7000;10200
Puerto Los Córdobas_Nebris microps_Pequeño;19101;21394
Puerto Los Córdobas_Bagre filamentosus_Mediano;5667;5967
Puerto Los Córdobas_Nebris microps_Revuelto;18803;21768
Chontal_Sphyraena ensis_Grande;7000;7000
Sicará_Prochilodus magdalenae_Varios tamaños;7070;9695
Puerto Los Córdobas_Lobotes surinamensis_Grande;11966;13064
Chontal_Scomberomorus sierra_Grande;7000;7000
La Chamba_Pimelodus yuma_Revuelto;9979;10000
La Chamba_Megaleporinus muyscorum_Revuelto;10000;10000
La Chamba_Pimelodus grosskopfii_Revuelto;10000;10000
Bocanegra_Centropomus undecimalis_Grande;18033;21340
Bocanegra_Sciades proops_Grande;14000;14000
Bocanegra_Mugil incilis_Revuelto;6355;7719
Bocanegra_Centropomus undecimalis_Pequeño;5970;17426
Chacón_Centropomus medius_Varios tamaños;8000;8000
Chacón_Nebris occidentalis_Varios tamaños;6000;6000
Chacón_Larimus argenteus_Varios tamaños;8000;8000
La Chamba_Prochilodus magdalenae_Revuelto;10000;10004
La Chamba_Ichthyoelephas longirostris_Revuelto;14000;14000
Bocanegra_Lobotes surinamensis_Mediano;8451;11813
Bocanegra_Cathorops mapale_Revuelto;3953;4950
Providencia o Caimancito_Piaractus brachypomus_Grande;4199;4199
Bocanegra_Lobotes surinamensis_Grande;8964;9893
Providencia o Caimancito_Oreochromis niloticus_Revuelto;6991;7002
Providencia o Caimancito_Prochilodus magdalenae_Mediano;3238;4697
Providencia o Caimancito_Hoplias malabaricus_Revuelto;1206;1833
Providencia o Caimancito_Caquetaia kraussii_Revuelto;788;1481
Providencia o Caimancito_Cyphocharax magdalenae_Revuelto;1137;1548
Primera Ensenada_Sphyraena guachancho_Mediano;11652;11989
Primera Ensenada_Lutjanus synagris_Mediano;23531;23953
