SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_PESO_TOTALE_hist;Cuartil_sup_PESO_TOTALE_hist
Bahía de Cispatá_Chinchorro marino - Chinchorro marino_Xiphopenaeus kroyeri;1,5;95
Bahía de Cispatá_Chinchorro marino - Chinchorro marino_Penaeus schmitti;0,25;7,5
Bahía de Cispatá_Chinchorro marino - Chinchorro marino_Sepioteuthis sepioidea;0,25;3
Casino_Línea de mano - Línea de mano_Scomberomorus cavalla;0,73;11
Bahía de Cispatá_Red de enmalle - Red de enmalle de encierro marina_Mugil liza;1;26,58
Bahía de Cispatá_Palangre o Espinel - Palangre o espinel de fondo_Hypanus guttatus;3;40
Bahía de Cispatá_Red de enmalle - Red de enmalle fija marina_Centropomus undecimalis;0,5;9,5
Bahía de Cispatá_Red de enmalle - Red de enmalle fija marina_Bagre filamentosus;1;11,3
Bahía de Cispatá_Red de enmalle - Red de enmalle fija marina_Mugil incilis;0,25;15
Bahía de Cispatá_Atarraya - Atarraya_Penaeus schmitti;0,5;5,25
Bahía de Cispatá_Atarraya - Atarraya_Mugil incilis;1;20
Bahía de Cispatá_Chinchorro marino - Chinchorro marino_Lobotes surinamensis;0,5;8,79
Bahía de Cispatá_Línea de mano - Línea de mano_Centropomus undecimalis;0,5;6
Bahía de Cispatá_Línea de mano - Línea de mano_Sphyraena guachancho;0,5;9
Bahía de Cispatá_Línea de mano - Línea de mano_Caranx hippos;0,5;7,82
Bahía de Cispatá_Línea de mano - Línea de mano_Hypanus guttatus;1;14
Bahía de Cispatá_Línea de mano - Línea de mano_Caranx crysos;1;19
Santiago Apóstol_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;0,5;16
Santiago Apóstol_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;1;6
Santiago Apóstol_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;0,5;2,72
Santiago Apóstol_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;5,05;45,5
Santiago Apóstol_Red de enmalle - Red de enmalle fija continental_Pseudoplatystoma magdaleniatum;0,5;3
Robles_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;0,3;8,2
Robles_Red de enmalle - Red de enmalle fija continental_Andinoacara latifrons;0,09;2,25
Robles_Red de enmalle - Red de enmalle de encierro continental_Prochilodus magdalenae;0,56;40,2
Robles_Red de enmalle - Red de enmalle de encierro continental_Megaleporinus muyscorum;0,95;19,12
Robles_Red de enmalle - Red de enmalle de encierro continental_Hoplias malabaricus;0,19;18
Robles_Red de enmalle - Red de enmalle de encierro continental_Caquetaia kraussii;0,16;25,2
Barrio Abajo (Ciénaga)_Changa - Red de arrastre artesanal o changa_Penaeus schmitti;0,25;6
Barrio Abajo (Ciénaga)_Changa - Red de arrastre artesanal o changa_Xiphopenaeus kroyeri;1,5;37
Rincón_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;0,3;3,2
Rincón_Red de enmalle - Red de enmalle fija continental_Trachelyopterus insignis;0,28;3,26
Rincón_Red de enmalle - Red de enmalle fija continental_Andinoacara latifrons;0,1;0,1
Santiago Apóstol_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;0,5;3,5
Barrio Abajo (Ciénaga)_Red de enmalle - Red de enmalle fija marina_Scomberomorus brasiliensis;0,5;9,5
Barrio Abajo (Ciénaga)_Red de enmalle - Red de enmalle fija marina_Scomberomorus cavalla;0,5;9,6
Puerto Caracolí_Cóngolo/Barredera - Cóngolo_Pseudoplatystoma magdaleniatum;1,8;10,08
Santiago Apóstol_Atarraya - Atarraya_Megaleporinus muyscorum;2;28,8
Santiago Apóstol_Atarraya - Atarraya_Hoplias malabaricus;5;5
Santiago Apóstol_Atarraya - Atarraya_Prochilodus magdalenae;1;10,8
Rincón_Atarraya - Atarraya_Hoplias malabaricus;0,44;5,98
Santiago Apóstol_Red de enmalle - Red de enmalle fija continental_Geophagus steindachneri;0,5;4
Puente Chambacú - Río Jella_Línea de mano - Línea de mano_Haemulon flaviguttatum;7,86;52,4
Puente Chambacú - Río Jella_Línea de mano - Línea de mano_Caranx caballus;6,68;75,4
Puente Chambacú - Río Jella_Línea de mano - Línea de mano_Lutjanus guttatus;5;135,9
Puente Chambacú - Río Jella_Línea de mano - Línea de mano_Thunnus albacares;8;253,6
Playa Necoclí_Red de enmalle - Red de enmalle fija marina_Caranx crysos;3;125,45
Playa Necoclí_Red de enmalle - Red de enmalle fija marina_Scomberomorus brasiliensis;1,5;102
Puerto Chaparro_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;0,35;4,75
Puerto Chaparro_Red de enmalle - Red de enmalle fija continental_Cynopotamus magdalenae;0,28;7,5
Buenavista (La Dorada)_Red de enmalle - Red de enmalle de deriva continental_Pseudopimelodus atricaudus;1,6;7
Buenavista (La Dorada)_Red de enmalle - Red de enmalle de deriva continental_Salminus affinis;1;11
Muelle Pescadores (Puerto Boyacá)_Atarraya - Atarraya_Prochilodus magdalenae;2,56;24,45
Muelle Pescadores (Puerto Boyacá)_Palangre o Espinel - Palangre calandrio_Pseudoplatystoma magdaleniatum;3,78;26,23
Muelle Pescadores (Puerto Boyacá)_Palangre o Espinel - Palangre calandrio_Salminus affinis;1,35;2,6
Puerto Miraflores_Línea de mano - Línea de mano_Elagatis bipinnulata;1;37,98
Puerto Miraflores_Línea de mano - Línea de mano_Lutjanus guttatus;1,57;60
Puerto Miraflores_Línea de mano - Línea de mano_Lutjanus colorado;1,5;80
Puerto Miraflores_Red de enmalle - Red de enmalle fija marina_Lutjanus guttatus;1,5;57
Puerto Miraflores_Red de enmalle - Red de enmalle fija marina_Haemulon flaviguttatum;0,75;60,5
Puerto Miraflores_Red de enmalle - Red de enmalle fija marina_Caranx caballus;3,58;91,4
Puerto Miraflores_Palangre o Espinel - Palangre o espinel de fondo_Brotula clarkae;5,8;260
Puerto Miraflores_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus colorado;5;99,1
Muelle Pescadores (Puerto Boyacá)_Atarraya - Atarraya_Pseudoplatystoma magdaleniatum;2,5;67,33
Muelle Pescadores (Puerto Boyacá)_Atarraya - Atarraya_Hypostomus hondae;0,78;4,15
Marralú_Red de enmalle - Red de enmalle de deriva continental_Triportheus magdalenae;2,5;9,5
Muelle Pescadores (Puerto Boyacá)_Atarraya - Atarraya_Salminus affinis;1,18;3,96
Marralú_Atarraya - Atarraya_Caquetaia kraussii;3;7
Muelle Pescadores (Puerto Boyacá)_Chinchorro continental - Chinchorro continental_Prochilodus magdalenae;4,5;23,25
Muelle Pescadores (Puerto Boyacá)_Chinchorro continental - Chinchorro continental_Salminus affinis;1,61;2,46
Muelle Pescadores (Puerto Boyacá)_Chinchorro continental - Chinchorro continental_Pseudoplatystoma magdaleniatum;2,75;20,62
Caño Lobo_Red de enmalle - Red de enmalle fija marina_Centropomus undecimalis;0,5;8
Caño Lobo_Red de enmalle - Red de enmalle fija marina_Megalops atlanticus;1;7,5
Muelle Pescadores (Puerto Boyacá)_Palangre o Espinel - Palangre calandrio_Pseudopimelodus atricaudus;1,73;8,35
Bahía de Cispatá_Chinchorro marino - Chinchorro marino_Mugil liza;0,5;4
Bahía de Cispatá_Chinchorro marino - Chinchorro marino_Bagre filamentosus;0,72;202
Muelle Pescadores (Puerto Boyacá)_Chinchorro continental - Chinchorro continental_Sorubim cuspicaudus;3,1;5,85
Muelle Pescadores (Puerto Boyacá)_Chinchorro continental - Chinchorro continental_Piaractus brachypomus;1,75;1,75
Muelle Pescadores (Puerto Boyacá)_Chinchorro continental - Chinchorro continental_Hoplias malabaricus;2,5;2,5
Gaira_Chinchorro marino - Chinchorro de jala playa_Caranx crysos;0,26;18,93
Gaira_Chinchorro marino - Chinchorro de jala playa_Opisthonema oglinum;2,78;136,25
Caño Lobo_Red de enmalle - Red de enmalle fija marina_Epinephelus adscensionis;0,5;4,75
Bahía de Cispatá_Chinchorro marino - Chinchorro marino_Eugerres plumieri;0,26;15
Caño Lobo_Red de enmalle - Red de enmalle fija marina_Cathorops mapale;2;10
Caño Lobo_Red de enmalle - Red de enmalle fija marina_Caranx hippos;1;5
Caño Lobo_Buceo - Recolección manual de ostra_Crassostrea rhizophorae;1,5;12,5
Ica-Copipa_Línea de mano - Línea de mano correteo curricán o trolling_Scomberomorus cavalla;1,5;9,7
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Balistes capriscus;2;10
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Conodon nobilis;2;18
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Carcharhinus leucas;3;78,4
Puerto de los Jhonsons (Puerto Boyacá)_Palangre o Espinel - Palangre calandrio_Pimelodus grosskopfii;3,51;21
Puerto de los Jhonsons (Puerto Boyacá)_Palangre o Espinel - Palangre calandrio_Sorubim cuspicaudus;1,79;18,92
Puerto de los Jhonsons (Puerto Boyacá)_Atarraya - Atarraya_Prochilodus magdalenae;3,5;30,6
Puerto de los Jhonsons (Puerto Boyacá)_Atarraya - Atarraya_Sorubim cuspicaudus;2,1;22,58
Puerto de los Jhonsons (Puerto Boyacá)_Atarraya - Atarraya_Piaractus brachypomus;3,25;3,25
Caño Lobo_Buceo - Buceo de caracol_Melongena melongena;2;9
Tasajera La Playa_Palangre o Espinel - Palangre o espinel de fondo_Ariopsis canteri;1,6;10
Tasajera La Playa_Palangre o Espinel - Palangre o espinel de fondo_Styracura schmardae;3;20
Tasajera La Playa_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus analis;1,5;12,97
Tasajera La Playa_Palangre o Espinel - Palangre o espinel de fondo_Haemulon plumieri;1;8
Tasajera La Playa_Palangre o Espinel - Palangre o espinel de fondo_Balistes capriscus;2;11,25
Puerto de los Jhonsons (Puerto Boyacá)_Palangre o Espinel - Palangre calandrio_Sternopygus aequilabiatus;1,34;7,15
Ica-Copipa_Red de enmalle - Red de enmalle fija marina_Lutjanus synagris;0,25;7,5
Ica-Copipa_Red de enmalle - Red de enmalle fija marina_Scomberomorus cavalla;1;22,85
Ica-Copipa_Red de enmalle - Red de enmalle fija marina_Caranx crysos;0,75;127,75
Caño Lobo_Atarraya - Atarraya_Penaeus schmitti;1;5
Puerto Asure_Línea de mano - Línea de mano_Sorubim cuspicaudus;2;10
Bahía de Cispatá_Línea de mano - Línea de mano_Lutjanus griseus;0,5;3,08
Bahía de Cispatá_Línea de mano - Línea de mano_Cathorops mapale;0,5;6,6
Puerto Asure_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;0,3;18,45
Puerto Asure_Red de enmalle - Red de enmalle fija continental_Pseudoplatystoma magdaleniatum;0,32;6,55
Barrio Abajo (Ciénaga)_Changa - Red de arrastre artesanal o changa_Styracura schmardae;2;24,75
Bahía de Cispatá_Línea de mano - Línea de mano_Lutjanus purpureus;0,5;5
Puerto Serviez_Red de enmalle - Red de enmalle de deriva continental_Pseudoplatystoma magdaleniatum;6;68
Puerto Serviez_Red de enmalle - Red de enmalle de deriva continental_Sorubim cuspicaudus;1,2;14,6
Puerto Asure_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;0,75;28,8
Gaira_Línea de mano - Línea de mano_Lutjanus synagris;0,29;3,58
Gaira_Línea de mano - Línea de mano_Euthynnus alletteratus;0,32;0,54
Puerto Serviez_Atarraya - Atarraya_Prochilodus magdalenae;3;74,15
Caño Lobo_Atarraya - Atarraya_Centropomus undecimalis;1;6
Caño Lobo_Atarraya - Atarraya_Eugerres plumieri;1,5;7,5
Caño Lobo_Atarraya - Atarraya_Mugil incilis;2;12,5
Puerto Serviez_Atarraya - Atarraya_Pseudoplatystoma magdaleniatum;2,3;22,25
Puerto Serviez_Atarraya - Atarraya_Sorubim cuspicaudus;2;19
Puerto Serviez_Atarraya - Atarraya_Pimelodus yuma;7,25;81,58
Puerto Asure_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;0,26;7,22
Puerto Asure_Red de enmalle - Red de enmalle fija continental_Trichopodus pectoralis;0,24;18,7
Bahía de Cispatá_Red de enmalle - Red de enmalle de encierro marina_Trachinotus carolinus;0,41;13,9
Ica-Copipa_Red de enmalle - Red de enmalle fija marina_Centropomus undecimalis;2;22
Gaira_Línea de mano - Línea de mano correteo curricán o trolling_Euthynnus alletteratus;2;2
La Playa (El Banco)_Red de enmalle - Red de enmalle de deriva continental_Pseudoplatystoma magdaleniatum;1,5;17,5
Barrio Abajo (Ciénaga)_Red de enmalle - Red de enmalle fija marina_Caranx crysos;0,5;9,2
Arrimadero La Unión_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus colorado;5;87,75
Arrimadero La Unión_Palangre o Espinel - Palangre o espinel de fondo_Brotula clarkae;14,45;540,6
Bahía de Cispatá_Arpón - Arpón_Centropomus undecimalis;0,5;4,6
Caño Lobo_Línea de mano - Línea de mano_Lutjanus griseus;1,5;1,5
Caño Lobo_Línea de mano - Línea de mano_Centropomus undecimalis;1;5
Barrio Abajo (Ciénaga)_Red de enmalle - Red de enmalle fija marina_Caranx hippos;0,25;7
Caño Lobo_Línea de mano - Línea de mano_Centropomus ensiferus;1,5;5
Arrimadero La Unión_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus novemfasciatus;7,22;59,55
Gaira_Red de enmalle - Red de enmalle fija marina_Sphyraena guachancho;0,56;9,3
Barrio Abajo (Ciénaga)_Red de enmalle - Red de enmalle fija marina_Sciades proops;1;17,42
Barrio Abajo (Ciénaga)_Red de enmalle - Red de enmalle fija marina_Elops smithi;0,5;8
Bahía de Cispatá_Red de enmalle - Red de enmalle de encierro marina_Mugil incilis;2,5;25
Puerto Amor_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;0,13;8,2
Puerto Amor_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;0,21;8,6
Puerto Amor_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;0,7;24
Puerto Miraflores_Línea de mano - Línea de mano_Seriola rivoliana;1,05;444,1
Puerto Miraflores_Línea de mano - Línea de mano_Haemulon flaviguttatum;1,5;30
Puerto Miraflores_Línea de mano - Línea de mano_Caranx caninus;2,34;33,9
Puerto Amor_Red de enmalle - Red de enmalle fija continental_Panaque cochliodon;0,45;3,96
Puerto Amor_Red de enmalle - Red de enmalle fija continental_Ageneiosus pardalis;0,16;2,4
Puerto Amor_Red de enmalle - Red de enmalle fija continental_Brycon moorei;0,19;1,3
Puerto Miraflores_Red de enmalle - Red de enmalle fija marina_Seriola rivoliana;4,5;4,5
Puerto Miraflores_Red de enmalle - Red de enmalle fija marina_Lutjanus novemfasciatus;3,3;24,4
Puerto Miraflores_Red de enmalle - Red de enmalle fija marina_Kyphosus ocyurus;2,58;135,72
Puerto Miraflores_Red de enmalle - Red de enmalle fija marina_Sphyraena ensis;1,5;55,25
Puerto Miraflores_Línea de mano - Línea de mano_Caranx caballus;2,5;86,67
Puerto Miraflores_Línea de mano - Línea de mano_Scomberomorus sierra;1,5;25
Puerto Amor_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;0,19;3,8
Villanueva_Línea de mano - Línea de mano_Scomberomorus cavalla;2,9;25
Morrosquillo_Línea de mano - Línea de mano_Bagre filamentosus;0,41;4,02
Santiago Apóstol_Red de enmalle - Red de enmalle fija continental_Colossoma macropomum;0,55;3,25
Puerto Asure_Red de enmalle - Red de enmalle fija continental_Trachelyopterus insignis;0,16;5,6
Puerto Asure_Red de enmalle - Red de enmalle fija continental_Plagioscion magdalenae;0,21;4
Puerto Asure_Red de enmalle - Red de enmalle fija continental_Colossoma macropomum;0,4;11,72
Bocanegra_Red de enmalle - Red de enmalle fija marina_Sciades proops;0,64;5,25
Bocanegra_Red de enmalle - Red de enmalle fija marina_Hypanus americanus;1;15
Bocanegra_Red de enmalle - Red de enmalle fija marina_Cathorops mapale;1;29,16
Puerto Asure_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;0,27;9,24
Bocanegra_Red de enmalle - Red de enmalle fija marina_Centropomus undecimalis;0,75;11,04
Morrosquillo_Línea de mano - Línea de mano_Nebris microps;0,22;1,39
Morrosquillo_Línea de mano - Línea de mano_Chloroscombrus chrysurus;0,04;0,4
Puerto Amor_Red de enmalle - Red de enmalle fija continental_Colossoma macropomum;0,27;12,9
Puerto Chucha_Red de enmalle - Red de enmalle fija marina_Aetobatus narinari;1;1
Morrosquillo_Buceo - Buceo de peces_Centropomus undecimalis;0,53;8,5
Morrosquillo_Buceo - Buceo de peces_Lutjanus purpureus;0,31;4,25
Puerto Chucha_Red de enmalle - Red de enmalle fija marina_Lutjanus griseus;0,29;6,05
Puerto Chucha_Atarraya - Atarraya_Penaeus schmitti;0,75;1,5
Puerto Chucha_Atarraya - Atarraya_Centropomus undecimalis;1;1
Morrosquillo_Línea de mano - Línea de mano_Trichiurus lepturus;3,03;11,53
Morrosquillo_Línea de mano - Línea de mano_Cynoponticus savanna;0,9;2,13
La Playa (El Banco)_Red de enmalle - Red de enmalle de deriva continental_Ageneiosus pardalis;0,5;3,5
La Playa (El Banco)_Red de enmalle - Red de enmalle de deriva continental_Sorubim cuspicaudus;1;4,5
La Playa (El Banco)_Chinchorro continental - Chinchorra_Pseudoplatystoma magdaleniatum;1,5;10
Santiago Apóstol_Atarraya - Atarraya_Pseudoplatystoma magdaleniatum;0,6;1,95
La Playa (El Banco)_Chinchorro continental - Chinchorra_Sorubim cuspicaudus;1;4
La Playa (El Banco)_Chinchorro continental - Chinchorra_Ageneiosus pardalis;0,5;3
Santiago Apóstol_Atarraya - Atarraya_Sorubim cuspicaudus;1;1
Nueva Colonia_Red de enmalle - Red de enmalle fija marina_Ariopsis canteri;2,5;40
Nueva Colonia_Red de enmalle - Red de enmalle fija marina_Mugil incilis;8;130
Nueva Colonia_Red de enmalle - Red de enmalle fija marina_Bairdiella ronchus;3;22,42
Las Tenazas_Palangre o Espinel - Palangre o espinel de fondo_Trichiurus lepturus;3;3
Las Tenazas_Línea de mano - Línea de mano_Haemulon flavolineatum;0,3;5,9
Las Tenazas_Línea de mano - Línea de mano_Haemulopsis corvinaeformis;0,2;4
Jegua_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;4;32,4
Jegua_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;0,5;5
Las Tenazas_Línea de mano - Línea de mano_Polydactylus virginicus;0,2;0,87
Las Tenazas_Línea de mano - Línea de mano_Cathorops mapale;0,2;2,66
Belén (San Marcos)_Atarraya - Atarraya_Oreochromis niloticus;1,51;11,34
Jegua_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;0,5;15
Jegua_Red de enmalle - Red de enmalle fija continental_Plagioscion magdalenae;0,5;3,02
Las Tenazas_Línea de mano - Línea de mano_Trichiurus lepturus;0,26;7
Bazurto_Red de enmalle - Red de enmalle fija marina_Trichiurus lepturus;0,95;50
Bazurto_Red de enmalle - Red de enmalle fija marina_Mugil curema;1,5;50
Bazurto_Red de enmalle - Red de enmalle fija marina_Mugil liza;2;37,22
Bazurto_Red de enmalle - Red de enmalle fija marina_Sphyraena barracuda;0,71;10
Bazurto_Red de enmalle - Red de enmalle fija marina_Lutjanus griseus;0,7;7
Bazurto_Red de enmalle - Red de enmalle fija marina_Eugerres plumieri;1;8,12
Bazurto_Red de enmalle - Red de enmalle fija marina_Scomberomorus brasiliensis;1,25;18
Bazurto_Red de enmalle - Red de enmalle fija marina_Hypanus guttatus;1,23;12
Pasacaballos_Atarraya - Atarraya_Selene setapinnis;0,29;6,02
Zapata_Red de enmalle - Red de enmalle fija marina_Centropomus undecimalis;3;21
Pasacaballos_Línea de mano - Línea de mano_Trichiurus lepturus;0,85;21,08
Playa Necoclí_Red de enmalle - Red de enmalle fija marina_Hemicaranx amblyrhynchus;1;41,62
Playa Necoclí_Red de enmalle - Red de enmalle fija marina_Caranx hippos;2;52,05
Pasacaballos_Atarraya - Atarraya_Centropomus undecimalis;0,21;5
Pasacaballos_Atarraya - Atarraya_Mugil incilis;4,25;60
Pasacaballos_Línea de mano - Línea de mano_Bagre filamentosus;0,27;13
Palo Alto_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;1;3,1
