SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_NUMERO_DE_EJEMPLARES_hist;Cuartil_sup_NUMERO_DE_EJEMPLARES_hist;Cuartil_inf_kg_IND_hist;Cuartil_sup_kg_IND_hist
Santa Rosa_Red de enmalle - Red de enmalle de deriva marina_Haemulon bonariense;20;43;0,19;0,24
Bellavista_Chinchorro marino - Chinchorro de jala playa_Caranx crysos;4;364;0,12;0,38
Puerto Arriba (Dibulla)_Red de enmalle - Red de enmalle de encierro marina_Euthynnus alletteratus;3;28;0,49;1,3
Santa Rosa_Red de enmalle - Red de enmalle de deriva marina_Caranx crysos;16;33;0,21;0,27
Santa Rosa_Red de enmalle - Red de enmalle de deriva marina_Sparisoma viride;13;34;0,26;0,36
El Ferry_Red de enmalle - Red de enmalle fija continental ciénaga_Curimata mivartii;6;404;0,07;0,15
El Ferry_Red de enmalle - Red de enmalle fija continental ciénaga_Caquetaia kraussii;5;63;0,07;0,12
Bellavista_Chinchorro marino - Chinchorro de jala playa_Opisthonema oglinum;30;824;0,05;0,11
Bellavista_Chinchorro marino - Chinchorro de jala playa_Sphyraena guachancho;1;27;0,25;0,86
Santa Rosa_Buceo - Buceo marino mixto_Panulirus argus;7;41;0,24;0,5
Puerto Franco_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;8;70;0,17;0,37
Bellavista_Chinchorro marino - Chinchorro de jala playa_Elops smithi;1;200;0,14;1,06
Santa Rosa_Buceo - Buceo marino mixto_Lachnolaimus maximus;1;5;2;3
Bellavista_Línea de mano - Línea de mano correteo curricán o trolling_Euthynnus alletteratus;1;75;0,18;1,15
Tajamar Occidental_Red de enmalle - Red de enmalle de deriva marina_Caranx crysos;8;96;0,25;0,55
Sempegua_Atarraya - Atarraya_Oreochromis niloticus;4;38;0,18;0,36
Puerto El Waffe marino_Red de enmalle - Red de enmalle fija marina_Bairdiella ronchus;13;84;0,17;0,19
La Playa (El Banco)_Red de enmalle - Red de enmalle de deriva continental_Colossoma macropomum;1;1;5,4;15,8
Tajamar Occidental_Red de enmalle - Red de enmalle de deriva marina_Macrodon ancylodon;19;157;0,23;0,29
Puerto Amor_Red de enmalle - Red de enmalle fija continental_Trichopodus pectoralis;1;150;0,09;0,16
Puerto Amor_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;1;24;0,16;0,35
Puerto Amor_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;1;64;0,08;0,14
La T_Trampas o Nasas - Nasas de Peces_Haemulon plumieri; ; ; ; 
La T_Trampas o Nasas - Nasas de Peces_Balistes capriscus; ; ; ; 
La T_Trampas o Nasas - Nasas de Peces_Haemulon aurolineatum; ; ; ; 
Tajamar Occidental_Red de enmalle - Red de enmalle de deriva marina_Sciades proops;1;9;1,66;7,4
La T_Red de enmalle - Red de enmalle de encierro marina_Caranx crysos;3;14;0,36;1,12
Santropel - San Sebastián_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;3;47;0,21;0,32
La T_Red de enmalle - Red de enmalle de encierro marina_Euthynnus alletteratus;2;8;2,05;6,07
Concepción - Tacamocho_Chinchorro continental - Chinchorra_Sorubim cuspicaudus;1;12;0,32;1,3
Concepción - Tacamocho_Chinchorro continental - Chinchorra_Pseudoplatystoma magdaleniatum;1;26;0,6;5,7
Concepción - Tacamocho_Chinchorro continental - Chinchorra_Megalops atlanticus;1;4;0,7;2,8
Concepción - Tacamocho_Chinchorro continental - Chinchorra_Pimelodus grosskopfii;2;15;0,22;0,32
Concepción - Tacamocho_Chinchorro continental - Chinchorra_Plagioscion magdalenae;1;14;0,3;1,98
Tajamar Occidental_Línea de mano - Línea de mano cometa_Sciades proops;1;9;1,24;4,6
Bellavista_Línea de mano - Línea de mano correteo curricán o trolling_Elagatis bipinnulata;1;10;0,45;1,01
Bellavista_Línea de mano - Línea de mano correteo curricán o trolling_Caranx crysos;2;32;0,17;0,38
Caño Grande_Red de enmalle - Red de enmalle fija continental_Centropomus ensiferus;1;26;0,09;0,35
La Playa (El Banco)_Red de enmalle - Red de enmalle de deriva continental_Sorubim cuspicaudus;1;5;0,6;1,25
Pantuuchitu_Red de enmalle - Red de enmalle fija marina_Panulirus argus;1;9;0,2;0,6
Santuario_Atarraya - Atarraya_Prochilodus rubrotaeniatus;19;57;0,3;0,38
Santuario_Atarraya - Atarraya_Brycon hilarii;1;4;0,8;1,88
Santuario_Atarraya - Atarraya_Chaetostoma anale; ; ; ; 
Tajamar Occidental_Línea de mano - Línea de mano cometa_Megalops atlanticus;1;2;2,65;7,02
Pantuuchitu_Línea de mano - Línea de mano fija marina_Archosargus rhomboidalis;6;14;0,2;0,35
Pantuuchitu_Línea de mano - Línea de mano fija marina_Caranx crysos;8;14;0,22;0,26
Pantuuchitu_Línea de mano - Línea de mano fija marina_Haemulon plumieri;4;16;0,13;0,33
El Ferry_Red de enmalle - Red de enmalle fija continental río_Pseudoplatystoma magdaleniatum;1;7;0,23;1,5
Tajamar Occidental_Red de enmalle - Red de enmalle de deriva marina_Trichiurus lepturus;4;116;0,46;0,86
Puerto Franco_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;100;585;0,07;0,09
Bellavista_Línea de mano - Línea de mano correteo curricán o trolling_Thunnus alalunga;4;100;0,28;0,91
Guazo_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;2;54;0,14;0,51
Pantuuchitu_Red de enmalle - Red de enmalle fija marina_Lachnolaimus maximus;1;5;0,31;1,35
Pantuuchitu_Red de enmalle - Red de enmalle fija marina_Lutjanus analis;1;6;0,2;1,1
Pantuuchitu_Red de enmalle - Red de enmalle fija marina_Elops smithi;1;7;0,54;1,55
Pantuuchitu_Red de enmalle - Red de enmalle fija marina_Chloroscombrus chrysurus;6;20;0,11;0,18
Pantuuchitu_Red de enmalle - Red de enmalle fija marina_Caranx crysos;1;7;0,2;1,54
Pantuuchitu_Red de enmalle - Red de enmalle fija marina_Centropomus ensiferus;1;1;0,82;3,02
Pantuuchitu_Red de enmalle - Red de enmalle fija marina_Haemulon plumieri;1;10;0,15;0,38
Desembarcadero (Murindó)_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;7;163;0,26;0,32
Desembarcadero (Murindó)_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;2;23;0,33;0,66
Desembarcadero (Murindó)_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;4;21;0,21;0,3
Desembarcadero (Murindó)_Red de enmalle - Red de enmalle fija continental_Ageneiosus pardalis;2;21;0,33;0,6
Tajamar Occidental_Línea de mano - Línea de mano cometa_Centropomus undecimalis;1;3;1,55;6,3
Pantuuchitu_Red de enmalle - Red de enmalle fija marina_Anisotremus surinamensis;1;8;0,16;1,05
Bahía de Santa Marta_Línea de mano - Línea de mano fija marina_Sphyraena guachancho;2;46;0,21;0,7
Rincón_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;7;169;0,06;0,1
Rincón_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;20;301;0,04;0,07
Rincón_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;6;32;0,08;0,11
Rincón_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;4;86;0,11;0,17
Rincón_Red de enmalle - Red de enmalle fija continental_Pimelodus yuma;2;38;0,05;0,08
Desembarcadero (Murindó)_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;2;9;0,33;0,57
Guazo_Red de enmalle - Red de enmalle fija continental_Brycon moorei;1;4;0,22;0,63
Guazo_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;1;12;0,05;0,21
Guazo_Red de enmalle - Red de enmalle fija continental_Pseudoplatystoma magdaleniatum;1;4;0,24;1,73
Riosucio_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;50;300;0,28;0,32
La T_Red de enmalle - Red de enmalle de encierro marina_Tylosurus acus;5;5;0,5;0,5
Puerto Franco_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;4;30;0,24;0,39
Bahía de Santa Marta_Línea de mano - Línea de mano fija marina_Selar crumenophthalmus;4;156;0,18;0,26
Puerto Franco_Red de enmalle - Red de enmalle fija continental_Plagioscion magdalenae;2;31;0,37;0,91
La T_Red de enmalle - Red de enmalle de encierro marina_Caranx hippos;1;4;6,12;8,83
Bahía de Santa Marta_Línea de mano - Línea de mano fija marina_Euthynnus alletteratus;1;12;0,19;2,91
Nueva Colonia_Red de enmalle - Red de enmalle fija marina_Centropomus undecimalis;2;20;1,39;3,75
Nueva Colonia_Red de enmalle - Red de enmalle fija marina_Sciades proops;1;15;1,25;3
Guazo_Red de enmalle - Red de enmalle de deriva continental_Prochilodus magdalenae;2;51;0,15;0,63
Guazo_Red de enmalle - Red de enmalle de deriva continental_Pseudoplatystoma magdaleniatum;1;7;0,38;2,5
Guazo_Red de enmalle - Red de enmalle de deriva continental_Ageneiosus pardalis;1;9;0,25;1,5
Bahía de Santa Marta_Red de enmalle - Red de enmalle fija marina_Euthynnus alletteratus;1;9;0,28;2,12
Bahía de Santa Marta_Red de enmalle - Red de enmalle fija marina_Priacanthus arenatus;1;11;0,24;1,04
Rincón_Atarraya - Atarraya_Cyphocharax magdalenae;18;675;0,04;0,06
Nueva Colonia_Red de enmalle - Red de enmalle fija marina_Mugil incilis;36;450;0,17;0,5
Nueva Colonia_Red de enmalle - Red de enmalle fija marina_Centropomus ensiferus;15;130;0,17;0,24
Nueva Colonia_Red de enmalle - Red de enmalle fija marina_Caranx hippos;14;195;0,13;1,98
Nueva Colonia_Red de enmalle - Red de enmalle fija marina_Bagre filamentosus;22;184;0,19;0,5
La Charca de Guarinocito_Atarraya - Atarraya_Triportheus magdalenae;24;144;0,1;0,14
Marralú_Chinchorro continental - Chinchorro continental_Pseudoplatystoma magdaleniatum;1;35;0,34;4,41
Marralú_Chinchorro continental - Chinchorro continental_Sorubim cuspicaudus;1;20;0,32;1,17
Marralú_Chinchorro continental - Chinchorro continental_Prochilodus magdalenae;4;133;0,14;0,79
Mercado (Lorica)_Atarraya - Atarraya_Megaleporinus muyscorum;3;78;0,12;0,22
Mercado (Lorica)_Atarraya - Atarraya_Pimelodus yuma;3;273;0,05;0,09
Mercado (Lorica)_Atarraya - Atarraya_Sorubim cuspicaudus;1;12;0,22;1,35
Mercado (Lorica)_Atarraya - Atarraya_Hoplias malabaricus;1;14;0,1;0,22
Mercado (Lorica)_Atarraya - Atarraya_Prochilodus magdalenae;3;140;0,11;0,42
Mercado (Lorica)_Atarraya - Atarraya_Rhamdia guatemalensis;2;5;0,13;0,2
Mercado (Lorica)_Atarraya - Atarraya_Cyphocharax magdalenae;20;618;0,04;0,05
Nueva Colonia_Red de enmalle - Red de enmalle fija marina_Bairdiella ronchus;16;105;0,17;0,25
Nueva Colonia_Red de enmalle - Red de enmalle fija marina_Mugil liza;1;25;1;2,5
Nueva Colonia_Red de enmalle - Red de enmalle fija marina_Trichiurus lepturus;10;100;0,25;0,75
El Valle_Línea de mano - Línea de mano fija marina_Lutjanus guttatus;16;72;0,32;1,91
Bahía de Santa Marta_Línea de mano - Línea de mano fija marina_Mycteroperca bonaci;1;3;2,85;10,7
Marralú_Chinchorro continental - Chinchorro continental_Megaleporinus muyscorum;10;285;0,17;0,42
Mercado (Lorica)_Atarraya - Atarraya_Cynopotamus atratoensis;2;43;0,09;0,23
Mercado (Lorica)_Atarraya - Atarraya_Caquetaia kraussii;1;22;0,05;0,09
Lamas_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;5;73;0,11;0,23
Lamas_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;5;155;0,06;0,13
Lamas_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;4;52;0,08;0,17
Playa Pescadores - Capurganá_Línea de mano - Línea de mano fija marina_Scomberomorus cavalla;1;6;0,68;14,35
Playa Pescadores - Capurganá_Línea de mano - Línea de mano fija marina_Thunnus albacares;1;120;0,39;4,6
Playa Pescadores - Capurganá_Línea de mano - Línea de mano fija marina_Caranx latus;1;12;0,17;4
Nueva Colonia_Red de enmalle - Red de enmalle fija marina_Callinectes bocourti;10;57;0,17;0,22
Curillo_Palangre o Espinel - Palangre calandrio_Piaractus brachypomus;1;4;1,7;8,75
Marralú_Trampas o Nasas - Nasas de Peces_Pimelodus yuma;12;156;0,06;0,1
Marralú_Trampas o Nasas - Nasas de Peces_Pimelodus grosskopfii;32;126;0,1;0,12
Marralú_Trampas o Nasas - Nasas de Peces_Megaleporinus muyscorum;4;65;0,12;0,37
Curillo_Palangre o Espinel - Palangre calandrio_Leiarius marmoratus;1;3;2,51;5,17
Curillo_Palangre o Espinel - Palangre calandrio_Zungaro zungaro;1;2;3,21;12,08
Curillo_Palangre o Espinel - Palangre calandrio_Megalonema sp. 1;1;19;0,24;0,85
Santa Rosa_Red de enmalle - Red de enmalle de deriva marina_Sparisoma chrysopterum;13;28;0,28;0,35
Santa Rosa_Red de enmalle - Red de enmalle de deriva marina_Elops smithi;3;17;0,44;2
Bahía de Santa Marta_Línea de mano - Línea de mano fija marina_Thunnus alalunga;1;16;0,28;6,88
Mercado (Lorica)_Línea de mano - Línea de mano fija continental_Sorubim cuspicaudus;1;13;0,32;2,42
Mercado (Lorica)_Atarraya - Atarraya_Ariopsis canteri;1;15;0,1;0,53
Isla Fuerte_Buceo - Buceo marino mixto_Panulirus argus;2;14;0,2;1,24
Isla Fuerte_Buceo - Buceo marino mixto_Octopus vulgaris;3;37;0,43;1
Lamas_Atarraya - Atarraya_Hoplias malabaricus;2;28;0,1;0,23
Puerto Franco_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;6;54;0,2;0,45
Santa Rosa_Red de enmalle - Red de enmalle de deriva marina_Mugil liza;12;33;0,29;0,38
Macurutú - Saloa_Red de enmalle - Red de enmalle fija continental ciénaga_Prochilodus magdalenae;2;58;0,14;0,4
Costilla_Atarraya - Atarraya_Oreochromis niloticus;2;71;0,15;0,56
Nueva Colonia_Red de enmalle - Red de enmalle fija marina_Callinectes sapidus;9;54;0,17;0,22
Curillo_Palangre o Espinel - Palangre calandrio_Pseudoplatystoma punctifer;1;2;2,3;7,64
Lamas_Red de enmalle - Red de enmalle fija continental_Pimelodus yuma;8;18;0,08;0,15
Lamas_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;24;314;0,04;0,06
Lamas_Red de enmalle - Red de enmalle fija continental_Trachelyopterus insignis;18;52;0,07;0,14
Puerto Franco_Red de enmalle - Red de enmalle fija continental_Ageneiosus pardalis;2;29;0,33;0,86
Santa Rosa_Red de enmalle - Red de enmalle de deriva marina_Seriola rivoliana;16;22;0,29;0,38
Marralú_Red de enmalle - Red de enmalle de deriva continental_Prochilodus magdalenae;3;80;0,13;0,65
Marralú_Red de enmalle - Red de enmalle de deriva continental_Cynopotamus magdalenae;3;34;0,18;0,3
Marralú_Red de enmalle - Red de enmalle de deriva continental_Megaleporinus muyscorum;5;310;0,13;0,31
Isla Fuerte_Buceo - Buceo marino mixto_Lobatus gigas;2;51;0,22;0,45
Limones_Red de enmalle - Red de enmalle fija marina_Cynoscion phoxocephalus; ; ; ; 
Limones_Red de enmalle - Red de enmalle fija marina_Centropomus armatus; ; ; ; 
Limones_Red de enmalle - Red de enmalle fija marina_Larimus spp.; ; ; ; 
Limones_Red de enmalle - Red de enmalle fija marina_Diapterus brevirostris; ; ; ; 
Limones_Red de enmalle - Red de enmalle fija marina_Notarius troschelii; ; ; ; 
Limones_Red de enmalle - Red de enmalle fija marina_Chaetodipterus zonatus; ; ; ; 
Macurutú - Saloa_Red de enmalle - Red de enmalle fija continental ciénaga_Caquetaia kraussii;4;79;0,05;0,1
Isla Fuerte_Línea de mano - Línea de mano fija marina_Lutjanus jocu;2;7;0,46;2,67
Isla Fuerte_Línea de mano - Línea de mano fija marina_Caranx latus;1;8;0,43;1,9
Isla Fuerte_Línea de mano - Línea de mano fija marina_Katsuwonus pelamis;2;18;0,62;1,76
Isla Fuerte_Línea de mano - Línea de mano fija marina_Euthynnus alletteratus;2;13;0,59;1,67
Macurutú - Saloa_Red de enmalle - Red de enmalle fija continental ciénaga_Hoplias malabaricus;2;36;0,13;0,28
Macurutú - Saloa_Red de enmalle - Red de enmalle fija continental ciénaga_Trichopodus pectoralis;4;140;0,08;0,1
Poportín_Buceo - Buceo marino mixto_Panulirus argus;2;40;0,25;0,5
Poportín_Buceo - Buceo marino mixto_Lutjanus jocu;3;13;0,36;0,98
Costilla_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;5;93;0,12;0,28
Poportín_Buceo - Buceo marino mixto_Mycteroperca bonaci;2;16;0,3;1,5
Poportín_Buceo - Buceo marino mixto_Lachnolaimus maximus;3;19;0,27;0,67
Poportín_Red de enmalle - Red de enmalle fija marina_Sparisoma chrysopterum;4;29;0,2;0,33
Poportín_Red de enmalle - Red de enmalle fija marina_Sparisoma rubripinne;5;28;0,2;0,33
Isla Fuerte_Línea de mano - Línea de mano correteo curricán o trolling_Thunnus alalunga;3;49;0,8;1,5
Isla Fuerte_Línea de mano - Línea de mano correteo curricán o trolling_Katsuwonus pelamis;2;13;0,76;2,16
Macurutú - Saloa_Red de enmalle - Red de enmalle fija continental ciénaga_Oreochromis niloticus;1;72;0,14;0,5
Macurutú - Saloa_Red de enmalle - Red de enmalle fija continental ciénaga_Sorubim cuspicaudus;1;4;0,25;1
Macurutú - Saloa_Red de enmalle - Red de enmalle fija continental ciénaga_Plagioscion magdalenae;1;33;0,13;0,5
Macurutú - Saloa_Red de enmalle - Red de enmalle fija continental ciénaga_Curimata mivartii;6;85;0,06;0,1
Macurutú - Saloa_Red de enmalle - Red de enmalle fija continental ciénaga_Colossoma macropomum;1;9;0,2;2,22
Isla Fuerte_Red de enmalle - Red de enmalle fija marina_Lutjanus synagris;4;15;0,28;0,69
Isla Fuerte_Red de enmalle - Red de enmalle fija marina_Sparisoma chrysopterum;4;14;0,25;0,6
Isla Fuerte_Red de enmalle - Red de enmalle fija marina_Haemulon flavolineatum;11;13;0,32;0,37
Isla Fuerte_Red de enmalle - Red de enmalle fija marina_Haemulon plumieri;6;23;0,25;0,45
Isla Fuerte_Red de enmalle - Red de enmalle fija marina_Caranx bartholomaei;2;5;0,48;0,83
Playa Pescadores - Capurganá_Línea de mano - Línea de mano fija marina_Lutjanus vivanus;13;105;0,36;0,55
Puerto Playa - Capurganá_Línea de mano - Línea de mano fija marina_Lutjanus vivanus;17;78;0,36;0,53
Puerto Playa - Capurganá_Línea de mano - Línea de mano fija marina_Thunnus albacares;2;95;0,44;7,55
Puerto Playa - Capurganá_Línea de mano - Línea de mano fija marina_Scomberomorus cavalla;1;4;1,4;15
El Valle_Línea de mano - Línea de mano fija marina_Kyphosus ocyurus;26;78;0,57;1,41
El Valle_Línea de mano - Línea de mano fija marina_Caranx caballus;26;238;0,38;0,94
El Valle_Línea de mano - Línea de mano fija marina_Caranx caninus;4;48;0,67;2,91
El Valle_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus colorado;5;58;2,05;7,14
Playa Pescadores - Capurganá_Línea de mano - Línea de mano fija marina_Lutjanus synagris;2;31;0,1;0,23
El Valle_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus novemfasciatus;2;45;2,84;15,77
El Valle_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus guttatus;8;69;0,66;5,55
Playa Pescadores - Capurganá_Línea de mano - Línea de mano fija marina_Katsuwonus pelamis;1;6;1,23;20,4
Playa Pescadores - Capurganá_Línea de mano - Línea de mano fija marina_Lutjanus buccanella;1;32;0,69;3,62
Belén (El Banco)_Red de enmalle - Red de enmalle fija continental ciénaga_Prochilodus magdalenae;10;85;0,17;0,42
Belén (El Banco)_Red de enmalle - Red de enmalle fija continental ciénaga_Pimelodus yuma;88;331;0,1;0,11
Belén (El Banco)_Red de enmalle - Red de enmalle fija continental ciénaga_Megaleporinus muyscorum;31;85;0,19;0,24
Policía fluvial (Quibdó)_Línea de mano - Línea de mano fija continental_Sternopygus aequilabiatus;1;18;0,32;0,87
Policía fluvial (Quibdó)_Línea de mano - Línea de mano fija continental_Pimelodus punctatus;15;160;0,13;0,24
Policía fluvial (Quibdó)_Línea de mano - Línea de mano fija continental_Rhamdia guatemalensis;3;204;0,19;0,38
Policía fluvial (Quibdó)_Línea de mano - Línea de mano fija continental_Megaleporinus muyscorum;1;60;0,29;0,48
Policía fluvial (Quibdó)_Línea de mano - Línea de mano fija continental_Pseudopimelodus sp. 1;1;15;0,75;3,3
Belén (El Banco)_Chinchorro continental - Chinchorro continental_Plagioscion magdalenae;7;84;0,18;1,14
Puerto Real - Saloa_Red de enmalle - Red de enmalle fija continental ciénaga_Pimelodus yuma;40;546;0,06;0,07
Puerto Real - Saloa_Red de enmalle - Red de enmalle fija continental ciénaga_Megaleporinus muyscorum;7;115;0,12;0,17
Puerto Simití_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;24;144;0,13;0,2
Puerto Simití_Red de enmalle - Red de enmalle fija continental_Plagioscion magdalenae;1;10;0,3;1,5
Puerto Simití_Atarraya - Atarraya_Prochilodus magdalenae;9;40;0,12;0,21
Las Flores_Red de enmalle - Red de enmalle de deriva marina_Sciades proops;1;5;1,64;7
Las Flores_Red de enmalle - Red de enmalle de deriva marina_Lobotes surinamensis;1;2;1,45;6,7
Las Flores_Red de enmalle - Red de enmalle de deriva marina_Centropomus undecimalis;1;9;3,15;6,63
Las Flores_Red de enmalle - Red de enmalle de deriva marina_Caranx hippos;1;7;1,91;7,68
La Playa (El Banco)_Red de enmalle - Red de enmalle de deriva continental_Ageneiosus pardalis;1;5;0,55;1,2
La Playa (El Banco)_Red de enmalle - Red de enmalle de deriva continental_Prochilodus magdalenae;1;28;0,17;0,6
